element no.	n1	n2	n3	b1	b2	b3	c1	c2	c3	element area	shortest edge length
1	509	510	533	-95068.4	106753	-11684.7	-75623.1	-43013.9	118637	4.11108e-011	9.46314e-006
2	533	510	536	-94824.5	8165.3	86659.2	52502.6	-121436	68933.9	4.51001e-011	9.77672e-006
3	536	510	511	10919.7	-108135	97215.2	110869	-57043.1	-53826.3	4.3991e-011	9.77672e-006
4	509	533	537	22592.2	77191.4	-99783.5	-123032	82826.2	40205.6	4.39823e-011	9.46314e-006
5	509	537	508	114138	-33704.4	-80433.4	-24803.5	111108	-86304.9	4.22095e-011	9.80171e-006
6	508	537	538	29043.9	62782.7	-91826.6	-110096	90140.6	19955	5.24651e-011	9.86028e-006
7	508	538	507	111359	-45906.5	-65452.5	8088.84	85885	-93973.9	5.03251e-011	9.80171e-006
8	536	511	539	-83154.3	-17222.8	100377	61243.7	-114194	52950.8	4.73909e-011	9.78846e-006
9	539	511	512	31459.7	-118604	87144.2	103709	-39526.5	-64182.3	4.52211e-011	9.78846e-006
10	539	512	540	-66326.6	-39397.9	105725	71120.1	-106354	35234.3	5.073e-011	9.86683e-006
11	540	512	513	50490.2	-124026	73536.1	94460.5	-15609.9	-78850.6	4.57564e-011	9.80171e-006
12	507	538	541	63378.2	34571.1	-97949.3	-84615.9	91730.7	-7114.79	5.72148e-011	1.12174e-005
13	507	541	506	106822	-65286.7	-41535.1	30657	79552.1	-110209	4.76218e-011	9.80171e-006
14	540	513	542	-51408.3	-42119.5	93527.8	81635.6	-93406.9	11771.3	6.06771e-011	1.14395e-005
15	542	513	514	57114.8	-114418	57302.8	69594.6	21401.4	-90996	5.44355e-011	9.80171e-006
16	506	541	543	78750	22005.4	-100755	-75688.2	104604	-28916	5.04891e-011	1.05848e-005
17	506	543	505	104411	-80734.1	-23677	46293.4	66256.8	-112550	4.69246e-011	9.80171e-006
18	505	543	544	94961	2962.27	-97923.3	-59948.9	103366	-43416.9	5.00335e-011	1.03478e-005
19	505	544	504	98485.7	-95220.4	-3265.23	63041	50896.4	-113937	4.53912e-011	9.80171e-006
20	542	514	545	-21533.8	-82352.7	103886	84305.5	-64873.9	-19431.6	5.99537e-011	1.04334e-005
21	545	514	515	81780.2	-109650	27869.4	67115.3	41994.3	-109110	4.63243e-011	9.80171e-006
22	504	544	546	95182	-15227.1	-79954.9	-50921	102100	-51179.3	5.59113e-011	1.06156e-005
23	504	546	503	75084.3	-91738	16653.6	83837.1	27828.4	-111666	5.1122e-011	9.80171e-006
24	503	546	547	105543	-39022.8	-66520.5	-12413.7	86688.7	-74275	5.77034e-011	1.09714e-005
25	503	547	501	56303.9	-104592	48288.6	96971.2	10301.5	-107273	4.66311e-011	9.80171e-006
26	545	515	548	-7549.64	-92312.9	99862.6	101327	-63081.4	-38246	5.08643e-011	1.03365e-005
27	548	515	516	93297.4	-101587	8289.1	49868.5	61383.5	-111252	4.63268e-011	9.80171e-006
28	501	547	549	112196	-59517.6	-52678.9	2794.7	87933.1	-90727.8	4.98399e-011	1.04576e-005
29	501	549	532	41906	-106958	65051.8	106644	-10534.4	-96109.6	4.55998e-011	9.80171e-006
30	548	516	550	6267.21	-100224	93956.6	102456	-45683.2	-56773.2	5.00888e-011	1.0283e-005
31	550	516	517	99271.4	-92626.6	-6644.81	30113.7	78515.7	-108629	4.72425e-011	9.80171e-006
32	532	549	551	112230	-73639.9	-38589.8	23950.6	74254.3	-98204.9	4.95184e-011	1.03571e-005
33	532	551	531	23254.7	-104534	81279.6	113668	-31710.1	-81957.8	4.4864e-011	9.80171e-006
34	531	551	552	104242	-85690.8	-18551.7	30283.6	60396.3	-90679.9	5.62374e-011	1.04105e-005
35	531	552	530	-9623.91	-83719.2	93343.1	110539	-44748.8	-65789.7	5.1627e-011	9.80171e-006
36	530	552	553	81907.4	-90394	8486.6	65558.1	31917.5	-97475.6	5.85457e-011	1.12248e-005
37	530	553	529	-31950.3	-80491.8	112442	105760	-66057.9	-39702.5	4.70658e-011	9.80171e-006
38	529	553	554	75381.3	-105690	30308.3	82974.5	17350.8	-100325	4.96156e-011	1.03998e-005
39	529	554	528	-47350.4	-68960.5	116311	103123	-84028.6	-19094.5	4.50848e-011	9.80171e-006
40	528	554	555	61314.4	-106018	44703.4	100681	-3322.57	-97358.2	4.77545e-011	1.01306e-005
41	528	555	527	-63966.3	-53687.2	117653	96754.5	-100442	3687.23	4.30316e-011	9.80171e-006
42	527	555	556	53182.3	-105578	52395.9	101205	-21952.1	-79253.4	5.25341e-011	9.98227e-006
43	527	556	526	-84603.9	-29186.9	113791	72556.6	-96216.2	23659.6	4.87426e-011	9.80171e-006
44	526	556	557	13181.7	-89294.7	76113	109942	-44667.5	-65274.8	5.41801e-011	1.08191e-005
45	526	557	525	-97122.7	-10706.4	107829	54765.2	-108704	53938.9	4.48673e-011	9.80171e-006
46	525	557	558	-2003.14	-90021.5	92024.6	115871	-63980.2	-51890.5	4.73529e-011	1.00053e-005
47	525	558	524	-106607	10796.7	95809.9	41526.7	-109621	68094.2	4.4492e-011	9.80171e-006
48	524	558	559	-22284.2	-76179	98463.2	114096	-75741.1	-38354.6	4.81718e-011	1.01806e-005
49	524	559	523	-113664	31754.3	81909.6	23241.3	-104680	81438.7	4.48016e-011	9.80171e-006
50	523	559	560	-27181	-62319.3	89500.4	103745	-85444.4	-18300.5	5.68972e-011	1.03954e-005
51	523	560	522	-110255	43496.2	66758.4	-10155.2	-81375.6	91530.8	5.31138e-011	9.80171e-006
52	522	560	561	-68590.5	-31285.3	99875.9	79064.3	-88263.5	9199.2	5.86332e-011	1.09813e-005
53	522	561	521	-107283	67473.3	39809.4	-30095.5	-82216.4	112312	4.60786e-011	9.80171e-006
54	521	561	562	-86190.3	-18839	105029	76965.8	-106429	29463.4	4.70672e-011	1.01744e-005
55	521	562	520	-107552	87153.4	20398.7	-43715.7	-71524.9	115241	4.34684e-011	9.80171e-006
56	520	562	563	-104641	-4944.66	109586	64416.9	-108959	44542.2	4.26617e-011	9.30634e-006
57	520	563	519	-110142	105017	5125.45	-56810.3	-56132.7	112943	4.11569e-011	9.30634e-006
58	519	563	564	-108793	-3108.39	111902	54184.9	-111903	57717.7	4.05099e-011	9.06982e-006
59	519	564	518	-112313	109377	2936.73	-72543.8	-33179	105723	4.28778e-011	9.06982e-006
